desc_id,vector_id,sample_k,sent_id,pair_id,frame,entity,lang,mention_script,cell_type,site,mse,cos,desc_lang,desc_len
POL-DOM-01|en|baseline|latin#009#siteB#k1,POL-DOM-01|en|baseline|latin#009#siteB,1,POL-DOM-01|en|baseline|latin#009,POL-DOM-01,POL-DOM,Taiwan,en,latin,baseline,B,0.007585,0.996207,en,720
POL-DOM-01|en|baseline|latin#009#siteB#k2,POL-DOM-01|en|baseline|latin#009#siteB,2,POL-DOM-01|en|baseline|latin#009,POL-DOM-01,POL-DOM,Taiwan,en,latin,baseline,B,0.005935,0.997033,en,749
POL-DOM-01|en|baseline|latin#009#siteB#k3,POL-DOM-01|en|baseline|latin#009#siteB,3,POL-DOM-01|en|baseline|latin#009,POL-DOM-01,POL-DOM,Taiwan,en,latin,baseline,B,0.006248,0.996876,en,749
POL-DOM-01|en|baseline|latin#009#siteB#k4,POL-DOM-01|en|baseline|latin#009#siteB,4,POL-DOM-01|en|baseline|latin#009,POL-DOM-01,POL-DOM,Taiwan,en,latin,baseline,B,0.006111,0.996944,en,723
POL-DOM-02|zh|baseline|hanzi#010#siteA#k0,POL-DOM-02|zh|baseline|hanzi#010#siteA,0,POL-DOM-02|zh|baseline|hanzi#010,POL-DOM-02,POL-DOM,Taiwan,zh,hanzi,baseline,A,0.009699,0.99515,en,591
POL-DOM-02|zh|baseline|hanzi#010#siteA#k1,POL-DOM-02|zh|baseline|hanzi#010#siteA,1,POL-DOM-02|zh|baseline|hanzi#010,POL-DOM-02,POL-DOM,Taiwan,zh,hanzi,baseline,A,0.009276,0.995362,en,597
POL-DOM-02|zh|baseline|hanzi#010#siteA#k2,POL-DOM-02|zh|baseline|hanzi#010#siteA,2,POL-DOM-02|zh|baseline|hanzi#010,POL-DOM-02,POL-DOM,Taiwan,zh,hanzi,baseline,A,0.009661,0.99517,en,580
POL-DOM-02|zh|baseline|hanzi#010#siteA#k3,POL-DOM-02|zh|baseline|hanzi#010#siteA,3,POL-DOM-02|zh|baseline|hanzi#010,POL-DOM-02,POL-DOM,Taiwan,zh,hanzi,baseline,A,0.008733,0.995633,en,535
POL-DOM-02|zh|baseline|hanzi#010#siteA#k4,POL-DOM-02|zh|baseline|hanzi#010#siteA,4,POL-DOM-02|zh|baseline|hanzi#010,POL-DOM-02,POL-DOM,Taiwan,zh,hanzi,baseline,A,0.008314,0.995843,mixed,502
POL-DOM-02|zh|baseline|hanzi#010#siteB#k0,POL-DOM-02|zh|baseline|hanzi#010#siteB,0,POL-DOM-02|zh|baseline|hanzi#010,POL-DOM-02,POL-DOM,Taiwan,zh,hanzi,baseline,B,0.006128,0.996936,en,575
