desc_id,vector_id,sample_k,sent_id,pair_id,frame,entity,lang,mention_script,cell_type,site,mse,cos,desc_lang,desc_len
POL-INT-03|zh|baseline|hanzi#008#siteA#k3,POL-INT-03|zh|baseline|hanzi#008#siteA,3,POL-INT-03|zh|baseline|hanzi#008,POL-INT-03,POL-INT,Taiwan,zh,hanzi,baseline,A,0.010541,0.994729,en,577
POL-INT-03|zh|baseline|hanzi#008#siteA#k4,POL-INT-03|zh|baseline|hanzi#008#siteA,4,POL-INT-03|zh|baseline|hanzi#008,POL-INT-03,POL-INT,Taiwan,zh,hanzi,baseline,A,0.010702,0.994649,en,609
POL-INT-03|zh|baseline|hanzi#008#siteB#k0,POL-INT-03|zh|baseline|hanzi#008#siteB,0,POL-INT-03|zh|baseline|hanzi#008,POL-INT-03,POL-INT,Taiwan,zh,hanzi,baseline,B,0.007452,0.996274,mixed,491
POL-INT-03|zh|baseline|hanzi#008#siteB#k1,POL-INT-03|zh|baseline|hanzi#008#siteB,1,POL-INT-03|zh|baseline|hanzi#008,POL-INT-03,POL-INT,Taiwan,zh,hanzi,baseline,B,0.009099,0.995451,mixed,461
POL-INT-03|zh|baseline|hanzi#008#siteB#k2,POL-INT-03|zh|baseline|hanzi#008#siteB,2,POL-INT-03|zh|baseline|hanzi#008,POL-INT-03,POL-INT,Taiwan,zh,hanzi,baseline,B,0.007785,0.996108,mixed,527
POL-INT-03|zh|baseline|hanzi#008#siteB#k3,POL-INT-03|zh|baseline|hanzi#008#siteB,3,POL-INT-03|zh|baseline|hanzi#008,POL-INT-03,POL-INT,Taiwan,zh,hanzi,baseline,B,0.007445,0.996278,mixed,456
POL-INT-03|zh|baseline|hanzi#008#siteB#k4,POL-INT-03|zh|baseline|hanzi#008#siteB,4,POL-INT-03|zh|baseline|hanzi#008,POL-INT-03,POL-INT,Taiwan,zh,hanzi,baseline,B,0.007426,0.996287,mixed,528
GEO-05|zh|codeswitch|latin#009#siteA#k0,GEO-05|zh|codeswitch|latin#009#siteA,0,GEO-05|zh|codeswitch|latin#009,GEO-05,GEO,Taiwan,zh,latin,codeswitch,A,0.012269,0.993865,en,647
GEO-05|zh|codeswitch|latin#009#siteA#k1,GEO-05|zh|codeswitch|latin#009#siteA,1,GEO-05|zh|codeswitch|latin#009,GEO-05,GEO,Taiwan,zh,latin,codeswitch,A,0.012012,0.993994,en,647
GEO-05|zh|codeswitch|latin#009#siteA#k2,GEO-05|zh|codeswitch|latin#009#siteA,2,GEO-05|zh|codeswitch|latin#009,GEO-05,GEO,Taiwan,zh,latin,codeswitch,A,0.012499,0.993751,en,664
GEO-05|zh|codeswitch|latin#009#siteA#k3,GEO-05|zh|codeswitch|latin#009#siteA,3,GEO-05|zh|codeswitch|latin#009,GEO-05,GEO,Taiwan,zh,latin,codeswitch,A,0.011633,0.994183,en,643
GEO-05|zh|codeswitch|latin#009#siteA#k4,GEO-05|zh|codeswitch|latin#009#siteA,4,GEO-05|zh|codeswitch|latin#009,GEO-05,GEO,Taiwan,zh,latin,codeswitch,A,0.012061,0.993969,en,697
GEO-05|zh|codeswitch|latin#009#siteB#k0,GEO-05|zh|codeswitch|latin#009#siteB,0,GEO-05|zh|codeswitch|latin#009,GEO-05,GEO,Taiwan,zh,latin,codeswitch,B,0.007197,0.996402,en,578
GEO-05|zh|codeswitch|latin#009#siteB#k1,GEO-05|zh|codeswitch|latin#009#siteB,1,GEO-05|zh|codeswitch|latin#009,GEO-05,GEO,Taiwan,zh,latin,codeswitch,B,0.007131,0.996435,mixed,524
GEO-05|zh|codeswitch|latin#009#siteB#k2,GEO-05|zh|codeswitch|latin#009#siteB,2,GEO-05|zh|codeswitch|latin#009,GEO-05,GEO,Taiwan,zh,latin,codeswitch,B,0.007166,0.996417,mixed,548
GEO-05|zh|codeswitch|latin#009#siteB#k3,GEO-05|zh|codeswitch|latin#009#siteB,3,GEO-05|zh|codeswitch|latin#009,GEO-05,GEO,Taiwan,zh,latin,codeswitch,B,0.006478,0.996761,mixed,523
GEO-05|zh|codeswitch|latin#009#siteB#k4,GEO-05|zh|codeswitch|latin#009#siteB,4,GEO-05|zh|codeswitch|latin#009,GEO-05,GEO,Taiwan,zh,latin,codeswitch,B,0.007833,0.996084,mixed,561
TRAV-C01-IS|zh|baseline|hanzi#010#siteA#k0,TRAV-C01-IS|zh|baseline|hanzi#010#siteA,0,TRAV-C01-IS|zh|baseline|hanzi#010,TRAV-C01-IS,TRAV,Iceland,zh,hanzi,baseline,A,0.013199,0.993401,en,522
TRAV-C01-IS|zh|baseline|hanzi#010#siteA#k1,TRAV-C01-IS|zh|baseline|hanzi#010#siteA,1,TRAV-C01-IS|zh|baseline|hanzi#010,TRAV-C01-IS,TRAV,Iceland,zh,hanzi,baseline,A,0.012785,0.993607,en,506
TRAV-C01-IS|zh|baseline|hanzi#010#siteA#k2,TRAV-C01-IS|zh|baseline|hanzi#010#siteA,2,TRAV-C01-IS|zh|baseline|hanzi#010,TRAV-C01-IS,TRAV,Iceland,zh,hanzi,baseline,A,0.012563,0.993718,en,560
TRAV-C01-IS|zh|baseline|hanzi#010#siteA#k3,TRAV-C01-IS|zh|baseline|hanzi#010#siteA,3,TRAV-C01-IS|zh|baseline|hanzi#010,TRAV-C01-IS,TRAV,Iceland,zh,hanzi,baseline,A,0.012869,0.993565,mixed,498
TRAV-C01-IS|zh|baseline|hanzi#010#siteA#k4,TRAV-C01-IS|zh|baseline|hanzi#010#siteA,4,TRAV-C01-IS|zh|baseline|hanzi#010,TRAV-C01-IS,TRAV,Iceland,zh,hanzi,baseline,A,0.013202,0.993399,en,553
TRAV-C01-IS|zh|baseline|hanzi#010#siteB#k0,TRAV-C01-IS|zh|baseline|hanzi#010#siteB,0,TRAV-C01-IS|zh|baseline|hanzi#010,TRAV-C01-IS,TRAV,Iceland,zh,hanzi,baseline,B,0.009893,0.995054,en,545
TRAV-C01-IS|zh|baseline|hanzi#010#siteB#k1,TRAV-C01-IS|zh|baseline|hanzi#010#siteB,1,TRAV-C01-IS|zh|baseline|hanzi#010,TRAV-C01-IS,TRAV,Iceland,zh,hanzi,baseline,B,0.008831,0.995584,mixed,487
TRAV-C01-IS|zh|baseline|hanzi#010#siteB#k2,TRAV-C01-IS|zh|baseline|hanzi#010#siteB,2,TRAV-C01-IS|zh|baseline|hanzi#010,TRAV-C01-IS,TRAV,Iceland,zh,hanzi,baseline,B,0.009396,0.995302,en,538
TRAV-C01-IS|zh|baseline|hanzi#010#siteB#k3,TRAV-C01-IS|zh|baseline|hanzi#010#siteB,3,TRAV-C01-IS|zh|baseline|hanzi#010,TRAV-C01-IS,TRAV,Iceland,zh,hanzi,baseline,B,0.008783,0.995609,en,522
TRAV-C01-IS|zh|baseline|hanzi#010#siteB#k4,TRAV-C01-IS|zh|baseline|hanzi#010#siteB,4,TRAV-C01-IS|zh|baseline|hanzi#010,TRAV-C01-IS,TRAV,Iceland,zh,hanzi,baseline,B,0.009145,0.995428,mixed,512
POL-INT-10|en|baseline|latin#011#siteA#k0,POL-INT-10|en|baseline|latin#011#siteA,0,POL-INT-10|en|baseline|latin#011,POL-INT-10,POL-INT,Taiwan,en,latin,baseline,A,0.012159,0.993921,en,721
POL-INT-10|en|baseline|latin#011#siteA#k1,POL-INT-10|en|baseline|latin#011#siteA,1,POL-INT-10|en|baseline|latin#011,POL-INT-10,POL-INT,Taiwan,en,latin,baseline,A,0.013661,0.99317,en,656
